ENSEMBL	SYMBOL	TYPE	S085BE	S089BE	S110BE	S114BE	S117BE	S118BE	S132INBE
ENSG00000142534	RPS11	protein_coding	639	650	791	615	647	616	725
ENSG00000157613	CREB3L1	protein_coding	594	1152	857	632	695	685	640
ENSG00000176903	PNMA1	protein_coding	180	223	276	308	119	318	133
ENSG00000187049	TMEM216	protein_coding	156	192	244	228	147	188	131
ENSG00000231889	TRAF3IP2-AS1	antisense	40	39	34	31	13	32	21
ENSG00000134899	ERCC5	protein_coding	175	261	391	162	268	242	282
ENSG00000273010	RP11-96K19.5	antisense	4	8	7	6	2	7	20
ENSG00000163697	APBB2	protein_coding	469	361	291	278	134	398	163
ENSG00000003096	KLHL13	protein_coding	70	75	127	72	21	41	28
ENSG00000105767	CADM4	protein_coding	634	753	852	498	439	448	770
ENSG00000272217	XXbac-BPG157A10.21	lincRNA	9	15	10	6	8	5	6
ENSG00000120519	SLC10A7	protein_coding	30	63	111	55	69	101	88
ENSG00000074695	LMAN1	protein_coding	1445	1626	1304	1588	1629	1593	1089
ENSG00000100888	CHD8	protein_coding	1068	1279	2129	984	1191	1193	1041
ENSG00000116030	SUMO1	protein_coding	264	257	285	329	264	299	254
ENSG00000225439	BOLA3-AS1	antisense	17	18	15	23	2	22	7
ENSG00000137673	MMP7	protein_coding	1103	1020	823	1139	721	973	669
ENSG00000250215	CIR1P2	processed_pseudogene	12	15	12	10	9	6	9
ENSG00000076924	XAB2	protein_coding	776	1036	1149	941	1000	969	816
ENSG00000280054	RP1-197B17.7	TEC	25	9	29	10	23	21	16
ENSG00000183878	UTY	protein_coding	822	1057	1077	535	816	782	1106
ENSG00000031691	CENPQ	protein_coding	19	56	71	54	67	80	81
ENSG00000206366	ZBTB12	protein_coding	37	58	92	77	28	49	23
ENSG00000047579	DTNBP1	protein_coding	113	182	212	163	97	156	73
ENSG00000239911	PRKAG2-AS1	antisense	36	77	48	101	22	53	25
ENSG00000198160	MIER1	protein_coding	427	477	552	511	540	568	557
ENSG00000259943	RP1-39G22.7	antisense	26	43	54	51	28	34	48
ENSG00000164082	GRM2	protein_coding	244	37	58	23	9	23	52
ENSG00000147471	PROSC	protein_coding	371	387	543	509	330	509	243
ENSG00000156234	CXCL13	protein_coding	26	236	5	71	7	36	15
ENSG00000282307	SERPINF1	protein_coding	564	921	223	486	459	419	144
ENSG00000119333	WDR34	protein_coding	171	331	263	269	155	194	72
ENSG00000175600	SUGCT	protein_coding	12	9	20	14	9	5	16
ENSG00000138018	EPT1	protein_coding	503	569	1005	804	760	1132	638
ENSG00000115694	STK25	protein_coding	754	1049	1190	1059	731	953	712
ENSG00000152785	BMP3	protein_coding	35	73	296	70	119	127	45
ENSG00000274010	RP5-935K16.2	processed_pseudogene	9	9	25	10	7	11	13
ENSG00000148429	USP6NL	protein_coding	480	658	1175	542	1002	817	1228
ENSG00000119688	ABCD4	protein_coding	454	541	769	381	592	456	661
ENSG00000117281	CD160	protein_coding	21	18	49	8	7	16	13
ENSG00000255986	MT1JP	transcribed_unprocessed_pseudogene	14	5	0	23	1	3	4
ENSG00000188152	NUTM2G	protein_coding	10	11	19	6	8	17	31
ENSG00000025293	PHF20	protein_coding	445	517	635	575	358	643	386
ENSG00000231684	EIF1P3	processed_pseudogene	21	29	38	28	27	26	32
ENSG00000266501	RP11-766H1.1	processed_pseudogene	12	16	30	21	18	22	23
ENSG00000172007	RAB33B	protein_coding	160	231	211	177	167	195	194
ENSG00000109107	ALDOC	protein_coding	105	175	362	125	223	103	502
ENSG00000106268	NUDT1	protein_coding	34	58	90	133	70	85	39
ENSG00000167766	ZNF83	protein_coding	1690	1948	1987	1305	2101	2430	2438
ENSG00000182308	DCAF4L1	protein_coding	61	35	50	12	29	27	37
ENSG00000226383	AC093375.1	lincRNA	21	49	14	15	21	22	71
ENSG00000172724	CCL19	protein_coding	19	9	7	10	3	35	26
ENSG00000137168	PPIL1	protein_coding	76	107	216	344	93	203	60
ENSG00000213512	GBP7	protein_coding	15	10	24	10	24	38	0
ENSG00000276016	ABR	protein_coding	1589	2085	2346	1661	1650	1764	1640
ENSG00000164543	STK17A	protein_coding	565	600	732	732	574	742	695
ENSG00000274213	RP11-670E13.6	lincRNA	48	61	71	47	65	39	74
ENSG00000178919	FOXE1	protein_coding	192	133	1124	366	534	178	1036
ENSG00000023041	ZDHHC6	protein_coding	312	439	573	453	377	553	513
ENSG00000175215	CTDSP2	protein_coding	2594	2961	3115	2610	2917	2950	2910
ENSG00000145916	RMND5B	protein_coding	288	469	771	516	506	497	443
ENSG00000160401	CFAP157	protein_coding	11	17	38	22	6	23	6
ENSG00000169071	ROR2	protein_coding	404	674	363	354	181	430	139
ENSG00000189221	MAOA	protein_coding	573	1799	1592	1434	1692	1220	1422
ENSG00000279423	RP11-671J11.5	TEC	14	125	110	5	56	18	91
ENSG00000136732	GYPC	protein_coding	205	65	79	246	21	199	21
ENSG00000254162	RP11-48B3.3	lincRNA	33	31	22	24	5	13	14
ENSG00000127463	EMC1	protein_coding	611	585	857	905	427	730	311
ENSG00000277203	F8A1	protein_coding	25	15	19	2	7	2	3
ENSG00000061273	HDAC7	protein_coding	2310	2385	3101	2150	2327	2447	2892
ENSG00000213237	AC008155.1	processed_pseudogene	11	8	27	15	8	8	8
ENSG00000173812	EIF1	protein_coding	1872	1878	2064	1812	1805	1836	1983
ENSG00000182022	CHST15	protein_coding	1015	1111	1046	1436	711	1012	1277
ENSG00000142751	GPN2	protein_coding	438	562	731	438	541	572	503
ENSG00000088682	COQ9	protein_coding	272	414	520	365	347	290	304
ENSG00000167632	TRAPPC9	protein_coding	228	422	590	488	231	427	299
ENSG00000267504	RP11-845C23.2	sense_intronic	17	21	26	5	21	23	30
ENSG00000135968	GCC2	protein_coding	962	1338	1239	706	1370	1329	1342
ENSG00000007202	KIAA0100	protein_coding	1399	1706	2425	1782	1629	1945	1479
ENSG00000160783	PMF1	protein_coding	139	142	195	183	129	163	100
ENSG00000153936	HS2ST1	protein_coding	90	119	104	123	43	134	41
ENSG00000184164	CRELD2	protein_coding	372	269	419	505	191	516	270
ENSG00000085117	CD82	protein_coding	726	861	1009	869	961	863	1010
ENSG00000156103	MMP16	protein_coding	19	7	1	17	2	11	3
ENSG00000184007	PTP4A2	protein_coding	1265	1518	1729	1579	1871	1657	1908
ENSG00000121905	HPCA	protein_coding	20	12	18	6	12	15	9
ENSG00000127720	METTL25	protein_coding	14	25	40	32	17	28	17
ENSG00000138080	EMILIN1	protein_coding	32	42	42	30	10	150	15
ENSG00000164258	NDUFS4	protein_coding	140	175	228	224	186	169	165
ENSG00000115128	SF3B6	protein_coding	289	311	369	378	325	332	331
ENSG00000171159	C9orf16	protein_coding	317	479	598	451	496	396	592
ENSG00000091513	TF	protein_coding	79	101	154	44	31	61	13
ENSG00000073464	CLCN4	protein_coding	4	12	26	29	10	34	19
ENSG00000006744	ELAC2	protein_coding	390	595	841	886	318	645	191
ENSG00000130707	ASS1	protein_coding	1151	1425	1744	1264	1551	1394	1791
ENSG00000228265	RALY-AS1	lincRNA	7	11	14	21	10	15	13
ENSG00000106346	USP42	protein_coding	635	563	855	516	478	643	416
ENSG00000114948	ADAM23	protein_coding	27	34	10	22	8	22	6
ENSG00000263606	RP11-737O24.3	transcribed_processed_pseudogene	48	45	48	48	22	42	48
ENSG00000235309	HLA-J	transcribed_unprocessed_pseudogene	195	193	187	120	170	196	148
ENSG00000259345	RP11-624L4.1	lincRNA	20	38	20	16	8	8	8
ENSG00000169062	UPF3A	protein_coding	256	358	538	299	195	369	176
ENSG00000198722	UNC13B	protein_coding	670	639	1290	672	894	843	1500
ENSG00000164951	PDP1	protein_coding	609	734	1007	752	962	1055	862
ENSG00000241217	RN7SL809P	misc_RNA	15	10	38	8	15	23	45
ENSG00000130956	HABP4	protein_coding	137	134	141	159	74	177	75
ENSG00000179178	TMEM125	protein_coding	91	153	232	175	172	245	145
ENSG00000196371	FUT4	protein_coding	62	99	80	107	27	82	15
ENSG00000235173	HGH1	protein_coding	75	93	188	252	65	183	31
ENSG00000164610	RP9	protein_coding	93	73	113	105	55	62	80
ENSG00000186635	ARAP1	protein_coding	1324	2102	2152	1288	2011	1594	1870
ENSG00000150394	CDH8	protein_coding	9	51	18	47	1	12	9
ENSG00000018510	AGPS	protein_coding	74	133	212	222	76	202	86
ENSG00000218416	PP14571	processed_transcript	20	37	68	12	60	21	31
ENSG00000076248	UNG	protein_coding	168	207	221	229	87	162	97
ENSG00000084207	GSTP1	protein_coding	739	874	1186	872	989	908	1014
ENSG00000273129	PACERR	lincRNA	5	12	5	15	4	11	5
ENSG00000179532	DNHD1	protein_coding	479	767	1855	471	620	850	1021
ENSG00000256683	ZNF350	protein_coding	154	196	275	141	181	155	238
ENSG00000279088	RP11-574K11.24	TEC	167	214	180	131	118	152	134
ENSG00000171346	KRT15	protein_coding	1890	2553	2505	1358	1862	2228	2472
ENSG00000022267	FHL1	protein_coding	473	489	242	560	90	590	72
ENSG00000092094	OSGEP	protein_coding	187	212	292	167	79	235	171
ENSG00000176728	TTTY14	lincRNA	37	64	71	54	43	53	46
ENSG00000177508	IRX3	protein_coding	424	633	675	399	434	379	470
ENSG00000279861	RP11-43N16.4	TEC	82	87	124	34	75	50	110
ENSG00000004534	RBM6	protein_coding	1819	1840	1992	1292	1259	1449	1285
ENSG00000136826	KLF4	protein_coding	1910	2133	2176	1730	1764	1778	1816
ENSG00000124602	UNC5CL	protein_coding	60	112	105	32	71	58	63
ENSG00000172086	KRCC1	protein_coding	123	232	267	238	105	221	141
ENSG00000108474	PIGL	protein_coding	238	410	458	210	253	328	341
ENSG00000176410	DNAJC30	protein_coding	36	48	71	61	28	50	30
ENSG00000136273	HUS1	protein_coding	92	66	188	160	82	134	121
ENSG00000198046	ZNF667	protein_coding	124	177	220	175	47	231	111
ENSG00000123191	ATP7B	protein_coding	160	181	205	143	117	150	145
ENSG00000105967	TFEC	protein_coding	0	2	2	0	18	16	1
ENSG00000250116	RP11-417F21.1	antisense	82	108	76	34	45	122	44
ENSG00000119673	ACOT2	protein_coding	169	220	174	152	110	111	53
ENSG00000276180	HIST1H4I	protein_coding	74	96	85	77	64	104	94
ENSG00000140374	ETFA	protein_coding	413	534	706	671	624	700	589
ENSG00000265982	RP11-927P21.4	unprocessed_pseudogene	43	51	59	36	53	58	51
ENSG00000167635	ZNF146	protein_coding	750	806	963	940	655	944	515
ENSG00000099821	POLRMT	protein_coding	682	922	919	908	614	897	381
ENSG00000172578	KLHL6	protein_coding	16	3	14	6	3	22	5
ENSG00000117691	NENF	protein_coding	218	271	255	284	185	216	215
ENSG00000158290	CUL4B	protein_coding	416	555	610	463	512	630	512
ENSG00000069011	PITX1	protein_coding	617	837	1906	844	1314	689	1749
ENSG00000213551	DNAJC9	protein_coding	193	229	300	155	187	198	178
ENSG00000198453	ZNF568	protein_coding	94	142	147	84	75	104	45
ENSG00000173442	EHBP1L1	protein_coding	1848	2138	2783	1567	2337	2147	2340
ENSG00000204843	DCTN1	protein_coding	660	900	1053	909	547	875	553
ENSG00000134253	TRIM45	protein_coding	39	29	88	29	26	42	64
ENSG00000120438	TCP1	protein_coding	1299	1278	1616	1349	1272	1401	1468
ENSG00000134970	TMED7	protein_coding	182	200	164	326	246	432	182
ENSG00000273137	RP3-402G11.28	antisense	29	28	28	6	16	16	23
ENSG00000177425	PAWR	protein_coding	1174	1286	1231	1315	918	1429	919
ENSG00000274939	TBC1D3B	protein_coding	1	0	0	14	0	0	1
ENSG00000236035	RP11-90O23.1	processed_pseudogene	13	14	22	18	12	18	16
ENSG00000055208	TAB2	protein_coding	1233	1327	1594	1383	1375	1500	1549
ENSG00000090889	KIF4A	protein_coding	3	24	14	7	36	9	2
ENSG00000170264	FAM161A	protein_coding	40	49	55	35	14	34	16
ENSG00000108582	CPD	protein_coding	1480	2253	1959	2259	1716	2697	1333
ENSG00000064692	SNCAIP	protein_coding	352	519	223	624	60	388	55
ENSG00000240463	RPS19P3	processed_pseudogene	23	31	53	23	27	31	58
ENSG00000167595	PROSER3	protein_coding	208	349	363	190	168	243	128
ENSG00000114638	UPK1B	protein_coding	1	165	157	125	581	136	32
ENSG00000242366	UGT1A8	protein_coding	3	9	16	21	145	22	5
ENSG00000127578	WFIKKN1	protein_coding	89	232	191	188	154	157	54
ENSG00000126803	HSPA2	protein_coding	151	155	179	234	118	102	314
ENSG00000224086	LL22NC03-86G7.1	antisense	43	52	106	28	42	41	65
ENSG00000120742	SERP1	protein_coding	918	1052	1107	1177	1176	1278	1122
ENSG00000154529	CNTNAP3B	protein_coding	30	17	13	10	11	15	23
ENSG00000125450	NUP85	protein_coding	431	635	1082	650	456	669	618
ENSG00000204936	CD177	protein_coding	4	5	2	5	2	3	15
ENSG00000139292	LGR5	protein_coding	14	13	0	7	3	2	2
ENSG00000270066	SCARNA2	lincRNA	14	14	11	9	5	2	7
ENSG00000144566	RAB5A	protein_coding	584	696	804	660	772	783	847
ENSG00000100897	DCAF11	protein_coding	658	961	1084	733	773	808	794
ENSG00000257242	LINC01619	processed_transcript	10	8	24	15	9	7	183
ENSG00000213598	RP11-112J1.1	processed_pseudogene	19	22	27	22	24	15	52
ENSG00000168702	LRP1B	protein_coding	13	96	234	61	127	71	191
ENSG00000132530	XAF1	protein_coding	169	78	232	105	129	270	152
ENSG00000166839	ANKDD1A	protein_coding	56	54	75	26	54	61	91
ENSG00000260710	RP11-616M22.7	lincRNA	6	28	72	2	58	30	77
ENSG00000249936	RAC1P2	processed_pseudogene	40	33	82	54	43	40	81
ENSG00000188707	ZBED6CL	protein_coding	63	70	87	75	27	107	23
ENSG00000183273	CCDC60	protein_coding	42	152	199	35	146	88	260
ENSG00000163634	THOC7	protein_coding	154	215	256	256	217	234	157
ENSG00000273686	B2M	protein_coding	1620	1548	2018	1611	1942	2207	2517
ENSG00000104549	SQLE	protein_coding	614	729	1374	1086	885	960	1243
ENSG00000122694	GLIPR2	protein_coding	71	75	138	177	17	146	30
ENSG00000213236	YWHAZP2	processed_pseudogene	17	12	28	22	12	18	31
ENSG00000171566	PLRG1	protein_coding	341	424	637	452	394	483	416
ENSG00000142556	ZNF614	protein_coding	165	236	272	211	111	181	158
ENSG00000178184	PARD6G	protein_coding	89	133	265	135	164	103	159
ENSG00000207870	MIR221	miRNA	44	25	36	31	33	42	39
ENSG00000164284	GRPEL2	protein_coding	441	123	336	268	660	357	497
ENSG00000204084	INPP5B	protein_coding	92	214	301	146	224	219	140
ENSG00000232630	PRPS1P2	processed_pseudogene	21	31	49	28	31	32	36
ENSG00000016402	IL20RA	protein_coding	27	183	394	131	202	120	138
ENSG00000198833	UBE2J1	protein_coding	785	829	1011	933	943	1027	959
ENSG00000245213	RP11-10K16.1	antisense	27	40	34	15	16	20	9
ENSG00000204792	LINC01291	lincRNA	5	7	35	9	2	37	4
ENSG00000229897	SEPT7P7	processed_pseudogene	10	14	14	12	5	15	13
ENSG00000130254	SAFB2	protein_coding	1469	1558	1683	981	1476	1390	1484
ENSG00000059769	DNAJC25	protein_coding	148	180	245	195	212	238	195
ENSG00000163121	NEURL3	protein_coding	559	223	730	598	555	664	649
ENSG00000228804	RP11-211G3.3	antisense	8	1	13	8	8	9	38
ENSG00000205250	E2F4	protein_coding	868	877	1015	917	818	905	677
ENSG00000183763	TRAIP	protein_coding	26	25	48	25	23	34	10
ENSG00000232352	SEMA3B-AS1	antisense	14	15	16	8	14	11	15
ENSG00000167468	GPX4	protein_coding	597	673	650	593	629	597	640
ENSG00000235297	FAUP1	processed_pseudogene	57	56	82	65	59	59	73
ENSG00000268307	CTD-2619J13.13	lincRNA	7	12	65	7	55	14	49
ENSG00000180758	GPR157	protein_coding	208	343	961	419	1391	561	768
ENSG00000123575	FAM199X	protein_coding	405	458	546	429	424	583	465
ENSG00000203914	HSP90B3P	processed_pseudogene	57	37	81	56	43	54	67
ENSG00000086848	ALG9	protein_coding	21	34	35	42	22	33	21
ENSG00000069188	SDK2	protein_coding	350	552	411	201	175	263	131
ENSG00000137955	RABGGTB	protein_coding	650	683	895	742	656	921	692
ENSG00000154945	ANKRD40	protein_coding	376	475	589	560	361	462	286
ENSG00000136436	CALCOCO2	protein_coding	1182	1309	1491	1274	1235	1401	1352
ENSG00000145335	SNCA	protein_coding	15	52	9	30	8	33	8
ENSG00000119715	ESRRB	protein_coding	24	15	8	10	8	4	6
ENSG00000102225	CDK16	protein_coding	1183	1558	1931	1317	1591	1340	1809
ENSG00000214140	PRCD	protein_coding	16	14	36	13	26	22	48
ENSG00000213592	AP000662.9	processed_pseudogene	13	13	5	7	14	11	12
ENSG00000109046	WSB1	protein_coding	1165	1393	1483	1106	1104	1493	1257
ENSG00000184500	PROS1	protein_coding	88	61	20	38	11	20	54
ENSG00000180008	SOCS4	protein_coding	257	266	284	227	147	303	152
ENSG00000100445	SDR39U1	protein_coding	138	160	187	93	79	113	141
ENSG00000267541	MTCO2P2	processed_pseudogene	70	24	62	42	35	32	47
ENSG00000108828	VAT1	protein_coding	1030	1036	1474	1294	1240	1200	1121
ENSG00000251322	SHANK3	protein_coding	1240	404	550	428	193	417	350
ENSG00000135749	PCNX2	protein_coding	161	217	286	193	57	128	164
ENSG00000266184	RP11-552O4.2	processed_pseudogene	12	12	18	24	17	15	20
ENSG00000100216	TOMM22	protein_coding	270	286	426	445	342	350	254
ENSG00000234449	RP11-706O15.3	lincRNA	17	1	0	0	0	1	0
ENSG00000144063	MALL	protein_coding	43	168	212	85	165	82	162
ENSG00000006118	TMEM132A	protein_coding	1546	1506	2445	1624	1591	1658	2613
ENSG00000100532	CGRRF1	protein_coding	56	69	93	83	56	69	42
ENSG00000278991	RP11-797A18.5	TEC	33	38	46	11	37	59	70
ENSG00000250982	RP11-159J3.1	processed_pseudogene	23	8	34	11	26	18	36
ENSG00000103932	RPAP1	protein_coding	323	527	696	514	395	532	248
ENSG00000204361	NXPE2	protein_coding	12	14	90	28	10	97	41
ENSG00000004766	VPS50	protein_coding	99	107	166	115	83	208	62
ENSG00000148110	MFSD14B	protein_coding	472	518	723	779	651	684	605
ENSG00000164414	SLC35A1	protein_coding	41	61	67	51	31	53	27
ENSG00000225496	AC104651.2	processed_pseudogene	7	10	17	14	9	10	10
ENSG00000069482	GAL	protein_coding	85	80	103	206	43	77	47
ENSG00000242951	RP11-507E23.1	processed_pseudogene	8	12	30	19	15	16	33
ENSG00000072042	RDH11	protein_coding	548	655	1009	650	713	669	912
ENSG00000134046	MBD2	protein_coding	768	889	1103	744	966	825	1140
ENSG00000217733	CCT7P1	processed_pseudogene	12	13	27	17	11	13	10
ENSG00000113971	NPHP3	protein_coding	118	145	118	75	77	141	82
ENSG00000182173	TSEN54	protein_coding	354	568	637	543	280	443	324
ENSG00000234456	MAGI2-AS3	processed_transcript	294	250	89	138	31	147	39
ENSG00000100281	HMGXB4	protein_coding	488	521	778	465	625	592	555
ENSG00000173894	CBX2	protein_coding	27	7	37	19	18	34	11
ENSG00000213516	RBMXL1	protein_coding	332	394	505	408	317	421	356
ENSG00000170275	CRTAP	protein_coding	783	1047	1037	899	831	877	824
ENSG00000233231	HNRNPA1P49	processed_pseudogene	26	24	31	9	39	31	40
ENSG00000127952	STYXL1	protein_coding	158	234	382	313	278	245	297
ENSG00000090013	BLVRB	protein_coding	313	445	536	426	514	432	448
ENSG00000268895	A1BG-AS1	antisense	11	13	4	10	5	20	0
ENSG00000078124	ACER3	protein_coding	167	116	204	191	136	190	125
ENSG00000150776	C11orf57	protein_coding	324	376	532	420	324	408	278
ENSG00000157077	ZFYVE9	protein_coding	234	345	516	372	238	357	196
ENSG00000070610	GBA2	protein_coding	1099	1218	1757	1151	1133	1249	1304
ENSG00000184922	FMNL1	protein_coding	95	60	108	106	41	139	75
ENSG00000115523	GNLY	protein_coding	8	3	27	16	5	12	7
ENSG00000069122	ADGRF5	protein_coding	596	70	164	261	26	227	95
ENSG00000147689	FAM83A	protein_coding	33	129	1105	305	1622	674	1670
ENSG00000170185	USP38	protein_coding	418	495	780	542	746	637	1040
ENSG00000227542	AC092614.2	lincRNA	16	13	10	14	6	15	6
ENSG00000183604	SMG1P5	transcribed_unprocessed_pseudogene	45	56	46	34	37	44	31
ENSG00000106992	AK1	protein_coding	37	49	80	37	37	38	46
ENSG00000261272	MUC22	protein_coding	1	0	1	2	5	2	33
ENSG00000116199	FAM20B	protein_coding	568	641	1089	915	701	968	801
ENSG00000268970	CTD-3099C6.11	sense_intronic	19	32	65	23	34	37	33
ENSG00000272256	RP11-489E7.4	antisense	18	31	27	13	3	8	18
ENSG00000196456	ZNF775	protein_coding	131	148	116	130	52	101	34
ENSG00000198276	UCKL1	protein_coding	422	569	713	510	399	501	487
ENSG00000144908	ALDH1L1	protein_coding	93	673	959	636	1132	499	974
ENSG00000173914	RBM4B	protein_coding	138	132	169	150	81	146	127
ENSG00000176946	THAP4	protein_coding	487	574	746	668	619	511	398
ENSG00000119900	OGFRL1	protein_coding	279	290	439	269	184	367	293
ENSG00000104081	BMF	protein_coding	338	352	626	254	278	409	418
ENSG00000269906	RP11-248J18.2	sense_intronic	40	17	35	17	16	33	29
ENSG00000146938	NLGN4X	protein_coding	3	6	28	6	24	9	14
ENSG00000197046	SIGLEC15	protein_coding	19	23	55	37	86	25	96
ENSG00000164638	SLC29A4	protein_coding	24	33	25	20	4	21	7
ENSG00000106608	URGCP	protein_coding	701	848	1169	822	832	786	895
ENSG00000175104	TRAF6	protein_coding	692	681	690	477	592	584	761
ENSG00000171517	LPAR3	protein_coding	242	526	622	433	348	350	530
ENSG00000113368	LMNB1	protein_coding	69	65	115	80	60	42	11
ENSG00000237289	CKMT1B	protein_coding	13	25	61	28	106	42	92
ENSG00000249072	RP11-777B9.5	processed_pseudogene	2	1	19	15	5	0	15
ENSG00000219438	FAM19A5	protein_coding	34	20	12	54	2	37	1
ENSG00000279348	RP11-566E18.1	TEC	8	12	26	18	12	15	8
ENSG00000169291	SHE	protein_coding	104	23	14	49	5	51	12
ENSG00000279331	RBM12B-AS1	TEC	17	13	13	10	5	14	16
ENSG00000165568	AKR1E2	protein_coding	4	12	15	15	4	8	3
ENSG00000125384	PTGER2	protein_coding	7	8	5	12	2	22	2
ENSG00000258521	RP11-638I2.9	antisense	17	9	25	3	24	22	11
ENSG00000047662	FAM184B	protein_coding	13	10	23	2	9	16	5
ENSG00000138002	IFT172	protein_coding	214	268	328	145	122	168	195
ENSG00000145990	GFOD1	protein_coding	411	317	513	154	224	393	255
ENSG00000007341	ST7L	protein_coding	76	111	118	110	55	116	75
ENSG00000281644	RP11-423H2.3	antisense	11	6	28	17	6	4	7
ENSG00000173163	COMMD1	protein_coding	66	53	116	120	62	78	71
ENSG00000148053	NTRK2	protein_coding	34	33	32	28	7	46	12
ENSG00000140545	MFGE8	protein_coding	860	841	507	620	248	682	502
ENSG00000123836	PFKFB2	protein_coding	299	402	1111	328	835	651	1298
ENSG00000119599	DCAF4	protein_coding	136	149	103	173	27	182	44
ENSG00000172954	LCLAT1	protein_coding	68	97	103	89	37	76	39
ENSG00000107438	PDLIM1	protein_coding	911	1167	1062	1010	1149	867	908
ENSG00000157992	KRTCAP3	protein_coding	265	400	401	417	382	386	206
ENSG00000182923	CEP63	protein_coding	217	254	392	249	151	229	167
ENSG00000169504	CLIC4	protein_coding	1191	1075	870	1547	1005	1588	813
ENSG00000260708	CTA-29F11.1	antisense	100	143	154	118	64	106	120
ENSG00000129465	RIPK3	protein_coding	11	85	119	45	84	90	104
ENSG00000177025	C19orf18	protein_coding	4	13	15	17	4	12	19
ENSG00000152117	AC093838.4	transcribed_processed_pseudogene	440	540	496	378	313	500	314
ENSG00000159363	ATP13A2	protein_coding	508	810	1216	947	949	971	1115
ENSG00000170477	KRT4	protein_coding	310	881	1896	449	1261	512	1757
ENSG00000254708	RP1-145M24.1	processed_pseudogene	5	9	4	8	11	16	6
ENSG00000126247	CAPNS1	protein_coding	833	1037	1075	913	934	902	962
ENSG00000232956	SNHG15	lincRNA	545	557	800	675	447	594	500
ENSG00000142634	EFHD2	protein_coding	985	1069	1392	1107	1586	1194	1354
ENSG00000259612	EEF1A1P22	processed_pseudogene	4	8	14	12	16	12	17
ENSG00000146648	EGFR	protein_coding	3753	4760	4479	4166	2613	4291	2746
ENSG00000103018	CYB5B	protein_coding	381	448	541	432	437	508	387
ENSG00000088882	CPXM1	protein_coding	365	227	327	401	112	269	142
ENSG00000104419	NDRG1	protein_coding	4175	4137	5120	3008	3700	3346	6373
ENSG00000246627	CACNA1C-AS1	antisense	8	6	12	5	9	0	19
ENSG00000267508	ZNF285	protein_coding	8	17	31	52	11	22	3
