SYMBOL	SRR1550986	SRR1550987	SRR1551047	SRR1551048	SRR1551054	SRR1551055	SRR1551068	SRR1551069
RPS11	2950	23072	4604	27297	4794	34420	6313	27590
PNMA1	51	190	79	212	39	162	78	153
TMEM216	365	162	317	224	192	183	365	123
TRAF3IP2-AS1	26	40	30	49	52	53	31	29
ERCC5	251	533	309	522	418	540	409	436
CADM4	221	59	394	80	234	82	210	99
SLC10A7	9	282	4	270	4	282	16	277
LMAN1	10	1185	6	932	3	928	27	574
CHD8	2723	2036	2596	2034	3181	1901	3092	1729
SUMO1	1056	1493	1621	1568	1596	1675	1683	1500
XAB2	801	1638	1099	1851	1253	1864	1610	1824
RP1-197B17.7	52	6	63	9	79	9	24	6
DTNBP1	340	385	242	455	312	460	342	319
PRKAG2-AS1	0	185	4	272	8	301	16	326
MIER1	3475	1502	3089	1952	3305	1829	4535	1701
RP1-39G22.7	42	60	58	36	41	30	34	51
CH17-373J23.1	0	72	0	9	0	27	7	116
GRM2	10	70	20	72	8	35	12	56
PROSC	435	1302	453	1182	444	991	468	818
RP11-309L24.10	19	63	6	27	16	47	11	21
SERPINF1	1	190	1	199	0	181	9	126
EPT1	55	375	84	352	183	498	86	384
STK25	97	1823	112	2185	257	2157	340	1826
TMEM180	199	440	166	306	300	314	327	226
USP6NL	201	794	201	847	220	978	219	696
ABCD4	152	811	139	876	223	925	227	812
PHF20	2029	1169	2261	1171	2635	1406	2469	1127
EIF1P3	40	150	145	150	62	159	54	128
RAB33B	1395	427	1442	303	1197	350	1556	410
ALDOC	293	134	336	133	231	121	226	88
NUDT1	14	254	40	357	46	376	59	287
ZNF83	167	721	498	1105	160	589	428	733
SELL	69234	18170	125606	25796	100071	14048	60353	11357
PPIL1	2	72	2	86	0	64	12	74
ABR	5516	5486	5269	5881	6317	5880	7441	5392
STK17A	1760	154	1986	285	2069	218	2687	156
RP11-670E13.6	337	138	355	136	299	85	459	246
ZDHHC6	612	861	627	1063	629	841	731	666
NEFH	6	80	6	122	16	109	13	89
CTDSP2	10723	9065	13256	8020	15899	8060	14551	6990
RMND5B	193	825	186	781	268	688	273	590
GYPC	88	284	287	708	184	517	146	472
EMC1	17	1343	17	1412	36	1389	54	911
F8A1	170	49	166	181	152	377	596	706
HDAC7	6670	3384	6876	3020	6135	2436	9047	2298
